date,median_R_mean,median_R_highHPD,median_R_lowHPD,analysis_type,include_onset,variable_delays
2020-02-09,1.5117261431509808,NA,NA,With symptom onset data - Fixed delays,TRUE,FALSE
2020-02-10,1.6774815446273859,3.317290872616576,0.5924014399915318,With symptom onset data - Fixed delays,TRUE,FALSE
2020-02-11,1.8414979049945301,3.4675237097140377,0.7258116889276257,With symptom onset data - Fixed delays,TRUE,FALSE
2020-02-12,1.9749704585762313,3.549984182339917,0.8577952085900561,With symptom onset data - Fixed delays,TRUE,FALSE
2020-02-13,2.0688616341267827,3.5602972693749906,0.9786083763423257,With symptom onset data - Fixed delays,TRUE,FALSE
2020-02-14,2.1305544518612622,3.5189773836286347,1.0872177298046313,With symptom onset data - Fixed delays,TRUE,FALSE
2020-02-15,2.1654262721989403,3.442496394737621,1.1814851342413528,With symptom onset data - Fixed delays,TRUE,FALSE
2020-02-16,2.188680637827802,3.3562651145138593,1.2681648284833977,With symptom onset data - Fixed delays,TRUE,FALSE
2020-02-17,2.2178913639190188,3.284772171144666,1.35832711304888,With symptom onset data - Fixed delays,TRUE,FALSE
2020-02-18,2.257905933768939,3.233974209261545,1.4552881396028872,With symptom onset data - Fixed delays,TRUE,FALSE
2020-02-19,2.292623818487987,3.183610189035323,1.5462834078228458,With symptom onset data - Fixed delays,TRUE,FALSE
2020-02-20,2.312258938886995,3.121757828028018,1.6228781697195793,With symptom onset data - Fixed delays,TRUE,FALSE
2020-02-21,3.0307652244268555,3.861348182658148,2.299574046477359,With symptom onset data - Fixed delays,TRUE,FALSE
2020-02-22,3.657571741888836,4.473838797411757,2.922518243268986,With symptom onset data - Fixed delays,TRUE,FALSE
2020-02-23,3.994082595330452,4.738385545206695,3.312580972114895,With symptom onset data - Fixed delays,TRUE,FALSE
2020-02-24,3.6932321215886272,4.3017273585452855,3.1305535729840313,With symptom onset data - Fixed delays,TRUE,FALSE
2020-02-25,3.366448758127359,3.855173215765165,2.910426913050669,With symptom onset data - Fixed delays,TRUE,FALSE
2020-02-26,3.131996261139235,3.5323963431675502,2.755371295693491,With symptom onset data - Fixed delays,TRUE,FALSE
2020-02-27,2.99209605977462,3.329251313132418,2.672706723988849,With symptom onset data - Fixed delays,TRUE,FALSE
2020-02-28,2.923887692094582,3.2140136182661645,2.647306201554363,With symptom onset data - Fixed delays,TRUE,FALSE
2020-02-29,2.9051184898260534,3.1584485968745937,2.6622390879333167,With symptom onset data - Fixed delays,TRUE,FALSE
2020-03-01,2.900498304549337,3.122974116179706,2.6861345611859413,With symptom onset data - Fixed delays,TRUE,FALSE
2020-03-02,2.865496355673428,3.0601060656194163,2.6771953668069948,With symptom onset data - Fixed delays,TRUE,FALSE
2020-03-03,2.7824191442877946,2.964638607542689,2.6001996810329002,With symptom onset data - Fixed delays,TRUE,FALSE
2020-03-04,2.663939883581564,2.842055971418874,2.485823795744254,With symptom onset data - Fixed delays,TRUE,FALSE
2020-03-05,2.525574723189519,2.6959177863786516,2.3552316600003866,With symptom onset data - Fixed delays,TRUE,FALSE
2020-03-06,2.3702579417395144,2.5223200453883874,2.2181958380906415,With symptom onset data - Fixed delays,TRUE,FALSE
2020-03-07,2.201674616340888,2.3297896370536315,2.073559595628144,With symptom onset data - Fixed delays,TRUE,FALSE
2020-03-08,2.0350681064798724,2.1509944222145556,1.9191417907451889,With symptom onset data - Fixed delays,TRUE,FALSE
2020-03-09,1.8840452686775835,2.002049827366699,1.7660407099884678,With symptom onset data - Fixed delays,TRUE,FALSE
2020-03-10,1.7489384071957514,1.8704090310412491,1.6274677833502538,With symptom onset data - Fixed delays,TRUE,FALSE
2020-03-11,1.6232999612075594,1.7474750843914921,1.4991248380236266,With symptom onset data - Fixed delays,TRUE,FALSE
2020-03-12,1.5017080226812953,1.6288253427035495,1.3745907026590412,With symptom onset data - Fixed delays,TRUE,FALSE
2020-03-13,1.3862235345525267,1.5116900594315257,1.2607570096735277,With symptom onset data - Fixed delays,TRUE,FALSE
2020-03-14,1.2811610209824364,1.3976967667831561,1.1646252751817168,With symptom onset data - Fixed delays,TRUE,FALSE
2020-03-15,1.1902904581337366,1.2952981635692673,1.0852827526982058,With symptom onset data - Fixed delays,TRUE,FALSE
2020-03-16,1.1154985025059359,1.2123902979489403,1.0186067070629314,With symptom onset data - Fixed delays,TRUE,FALSE
2020-03-17,1.055462077415632,1.1471540693255668,0.9637700855056972,With symptom onset data - Fixed delays,TRUE,FALSE
2020-03-18,1.0062943648620457,1.0937686607163648,0.9188200690077266,With symptom onset data - Fixed delays,TRUE,FALSE
2020-03-19,0.9624077923377499,1.047667228540134,0.8771483561353658,With symptom onset data - Fixed delays,TRUE,FALSE
2020-03-20,0.920372545366018,1.005784267678274,0.834960823053762,With symptom onset data - Fixed delays,TRUE,FALSE
2020-03-21,0.880469520482622,0.9654506824724769,0.795488358492767,With symptom onset data - Fixed delays,TRUE,FALSE
2020-03-22,0.8450651167369264,0.9276224282153183,0.7625078052585346,With symptom onset data - Fixed delays,TRUE,FALSE
2020-03-23,0.8159357099391583,0.8967876398766125,0.7350837800017042,With symptom onset data - Fixed delays,TRUE,FALSE
2020-03-24,0.7927690793023371,0.8736795171465258,0.7118586414581484,With symptom onset data - Fixed delays,TRUE,FALSE
2020-03-25,0.7724948128193239,0.8531793302982599,0.6918102953403878,With symptom onset data - Fixed delays,TRUE,FALSE
2020-03-26,0.7510196005791522,0.8296029067739902,0.6724362943843142,With symptom onset data - Fixed delays,TRUE,FALSE
2020-03-27,0.7263840082334223,0.802046670188264,0.6507213462785806,With symptom onset data - Fixed delays,TRUE,FALSE
